external_id,title,url,slot,brand,subcategory,primary_colour,dress_code,formality,warmth,price_minor,currency,image_url,in_stock,gender
demo-oxford-black,Black leather oxford shoes,https://www.myntra.com/formal-shoes?q=black%20oxford,feet,,oxford_shoes,black,business,4,2,299900,INR,https://images.unsplash.com/photo-1788940571597-ad8c96c3a26e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3wxMDc4Mzg5fDB8MXxzZWFyY2h8MXx8YmxhY2slMjBsZWF0aGVyJTIwb3hmb3JkJTIwZHJlc3MlMjBzaG9lc3xlbnwxfDJ8fHwxNzkwMTM4MjU3fDA&ixlib=rb-4.1.0&q=80&w=400,true,men
demo-derby-brown,Brown leather derby shoes,https://www.myntra.com/formal-shoes?q=brown%20derby,feet,,derby_shoes,brown,smart_casual,3,2,249900,INR,https://images.unsplash.com/photo-1616696038562-574c18066055?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3wxMDc4Mzg5fDB8MXxzZWFyY2h8MXx8YnJvd24lMjBsZWF0aGVyJTIwZGVyYnklMjBzaG9lc3xlbnwxfDJ8fHwxNzkwMTM4MjU4fDA&ixlib=rb-4.1.0&q=80&w=400,true,men
demo-sneaker-white,White leather sneakers,https://www.myntra.com/casual-shoes?q=white%20sneakers,feet,,sneakers,white,casual,2,2,199900,INR,https://images.unsplash.com/photo-1784887886779-31074accfc90?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3wxMDc4Mzg5fDB8MXxzZWFyY2h8MXx8d2hpdGUlMjBsZWF0aGVyJTIwc25lYWtlcnN8ZW58MXwyfHx8MTc5MDEzODI1OHww&ixlib=rb-4.1.0&q=80&w=400,true,unisex
demo-mojari-gold,Gold mojari jutti,https://www.myntra.com/ethnic-footwear?q=mojari,feet,,mojari_jutti,gold,festive_ethnic,4,2,159900,INR,https://images.unsplash.com/photo-1757451631936-a4d7a51954c0?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3wxMDc4Mzg5fDB8MXxzZWFyY2h8MXx8bW9qYXJpfGVufDF8Mnx8fDE3OTAxMzgyOTJ8MA&ixlib=rb-4.1.0&q=80&w=400,true,unisex
demo-kolhapuri-tan,Tan kolhapuri chappal,https://www.myntra.com/ethnic-footwear?q=kolhapuri,feet,,kolhapuri_chappal,brown,festive_ethnic,3,1,129900,INR,https://images.unsplash.com/photo-1659963970293-b12cfeb286c5?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3wxMDc4Mzg5fDB8MXxzZWFyY2h8MXx8aGFuZG1hZGUlMjBsZWF0aGVyJTIwc2FuZGFsfGVufDF8Mnx8fDE3OTAxMzgyOTJ8MA&ixlib=rb-4.1.0&q=80&w=400,true,unisex
demo-loafer-navy,Navy suede loafers,https://www.myntra.com/casual-shoes?q=loafers,feet,,loafers,blue_navy,smart_casual,3,2,229900,INR,https://images.unsplash.com/photo-1654945419086-bcb1c1e1b875?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3wxMDc4Mzg5fDB8MXxzZWFyY2h8MXx8bmF2eSUyMHN1ZWRlJTIwbG9hZmVyc3xlbnwxfDJ8fHwxNzkwMTM4MjYwfDA&ixlib=rb-4.1.0&q=80&w=400,true,men
demo-chinos-beige,Beige cotton chinos,https://www.myntra.com/trousers?q=chinos,lower,,chinos,beige,smart_casual,3,2,179900,INR,https://images.unsplash.com/photo-1619470148547-0adbfc64b595?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3wxMDc4Mzg5fDB8MXxzZWFyY2h8MXx8YmVpZ2UlMjBjaGlubyUyMHRyb3VzZXJzJTIwZm9sZGVkfGVufDF8Mnx8fDE3OTAxMzgyNjB8MA&ixlib=rb-4.1.0&q=80&w=400,true,men
demo-trousers-charcoal,Charcoal formal trousers,https://www.myntra.com/trousers?q=formal%20trousers,lower,,trousers_formal,grey_charcoal,business,4,2,219900,INR,https://images.unsplash.com/photo-1593621224782-fb7fd56e0deb?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3wxMDc4Mzg5fDB8MXxzZWFyY2h8MXx8Y2hhcmNvYWwlMjBmb3JtYWwlMjB0cm91c2Vyc3xlbnwxfDJ8fHwxNzkwMTM4MjYxfDA&ixlib=rb-4.1.0&q=80&w=400,true,men
demo-kurta-white,White cotton kurta,https://www.myntra.com/kurtas?q=white%20kurta,upper_base,,kurta,white,festive_ethnic,3,2,149900,INR,https://images.unsplash.com/photo-1624280184411-d61e4ca10f67?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3wxMDc4Mzg5fDB8MXxzZWFyY2h8MXx8d2hpdGUlMjBjb3R0b24lMjBrdXJ0YSUyMGluZGlhbiUyMG1lbnN3ZWFyfGVufDF8Mnx8fDE3OTAxMzgyNjF8MA&ixlib=rb-4.1.0&q=80&w=400,true,men
demo-shirt-oxford-blue,Light blue oxford shirt,https://www.myntra.com/shirts?q=oxford%20shirt,upper_base,,shirt_oxford,blue_light,business,4,2,169900,INR,https://images.unsplash.com/photo-1594938291221-94f18cbb5660?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3wxMDc4Mzg5fDB8MXxzZWFyY2h8MXx8bGlnaHQlMjBibHVlJTIwb3hmb3JkJTIwc2hpcnR8ZW58MXwyfHx8MTc5MDEzODI2Mnww&ixlib=rb-4.1.0&q=80&w=400,true,men
